################################################################
# abuse.ch URLhaus Database Dump (CSV - online URLs only)      #
# Last updated: 2023-10-24 15:55:21 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"2724902","2023-10-24 15:55:21","https://www.dropbox.com/scl/fi/y1zf9rt5n2guy0rg2xdwe/1698016807.zip?rlkey=sqp8yy0p85z3ksgl6wkymkcb2&dl=1","online","2023-10-24 15:55:21","malware_download","None","https://urlhaus.abuse.ch/url/2724902/","anonymous"
"2724903","2023-10-24 15:55:21","https://www.dropbox.com/scl/fi/u008gv89ok6tj3upxp981/1698024365.zip?rlkey=118orgmmq7538l6nsccmvcaca&dl=1","online","2023-10-24 15:55:21","malware_download","None","https://urlhaus.abuse.ch/url/2724903/","anonymous"
"2724904","2023-10-24 15:55:21","https://www.dropbox.com/scl/fi/96i5e2yrl5b383yiegq1a/1698018039.zip?rlkey=labf9f1urxkc89dqhunfifyti&dl=1","online","2023-10-24 15:55:21","malware_download","None","https://urlhaus.abuse.ch/url/2724904/","anonymous"
"2724905","2023-10-24 15:55:21","https://www.dropbox.com/scl/fi/g362v2hcsb1kly2v5y2nu/1698021856.zip?rlkey=r1qaj9o16hba50y87jpu38m5o&dl=1","online","2023-10-24 15:55:21","malware_download","None","https://urlhaus.abuse.ch/url/2724905/","anonymous"
"2724906","2023-10-24 15:55:21","https://www.dropbox.com/scl/fi/rwe01wwtzdsdtee9fgmlc/1698015386.zip?rlkey=zv8dep0r7wmzy5o1cjcv5pqph&dl=1","online","2023-10-24 15:55:21","malware_download","None","https://urlhaus.abuse.ch/url/2724906/","anonymous"
"2724890","2023-10-24 15:55:20","https://www.dropbox.com/scl/fi/wovmppcu0sm00pvictzrd/1698055272.zip?rlkey=m5gfxwvvagongq0ewlbettx5i&dl=1","online","2023-10-24 15:55:20","malware_download","None","https://urlhaus.abuse.ch/url/2724890/","anonymous"
"2724891","2023-10-24 15:55:20","https://www.dropbox.com/scl/fi/iurqlj6exm4b4s272ffqg/1698018221.zip?rlkey=o13xx5oavnyla5c67zqouzw4i&dl=1","online","2023-10-24 16:03:25","malware_download","None","https://urlhaus.abuse.ch/url/2724891/","anonymous"
"2724892","2023-10-24 15:55:20","https://www.dropbox.com/scl/fi/jmje6d7v3cvg6qh1u2emq/1698025012.zip?rlkey=133tbdz3zvr8a20vfma9b0ds4&dl=1","online","2023-10-24 15:55:20","malware_download","None","https://urlhaus.abuse.ch/url/2724892/","anonymous"
"2724893","2023-10-24 15:55:20","https://www.dropbox.com/scl/fi/sdfmje365asa40yijncce/1698015521.zip?rlkey=be2o3jm20846xyk8y79gcy8rm&dl=1","online","2023-10-24 15:55:20","malware_download","None","https://urlhaus.abuse.ch/url/2724893/","anonymous"
"2724894","2023-10-24 15:55:20","https://www.dropbox.com/scl/fi/5w1uv9jnpxlk1vv99xa2f/1698021320.zip?rlkey=qw8916wolsgsrro323f9k21om&dl=1","online","2023-10-24 15:55:20","malware_download","None","https://urlhaus.abuse.ch/url/2724894/","anonymous"
